         5x7.5E                   (5x75E.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/13/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1524      0.0975       0.000       0.002       0.003       0.018       0.000       0.014      75.357        0.02       3618.  
         0.3        0.06      0.0915      0.1526      0.1021       0.000       0.002       0.003       0.019       0.000       0.014      71.983        0.02       3620.  
         0.6        0.12      0.1746      0.1528      0.1072       0.000       0.002       0.003       0.020       0.000       0.014      68.697        0.02       3623.  
         0.9        0.18      0.2497      0.1531      0.1126       0.000       0.002       0.003       0.021       0.000       0.014      65.521        0.02       3629.  
         1.2        0.24      0.3176      0.1535      0.1183       0.000       0.002       0.003       0.022       0.000       0.014      62.489        0.02       3638.  
         1.4        0.31      0.3784      0.1540      0.1245       0.000       0.002       0.003       0.023       0.000       0.014      59.574        0.02       3649.  
         1.7        0.37      0.4330      0.1546      0.1311       0.000       0.002       0.003       0.025       0.000       0.014      56.805        0.02       3662.  
         2.0        0.43      0.4819      0.1553      0.1380       0.000       0.002       0.003       0.026       0.000       0.014      54.186        0.02       3678.  
         2.3        0.49      0.5256      0.1561      0.1454       0.000       0.002       0.003       0.027       0.000       0.014      51.717        0.02       3696.  
