         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2772      0.1791       0.000       0.003       0.006                                                                          
         0.2        0.03      0.0522      0.2753      0.1808       0.000       0.003       0.005                                                                          
         0.3        0.07      0.1027      0.2729      0.1822       0.000       0.003       0.005                                                                          
         0.5        0.10      0.1515      0.2699      0.1833       0.000       0.003       0.005                                                                          
         0.6        0.14      0.1986      0.2663      0.1840       0.000       0.003       0.005                                                                          
         0.8        0.17      0.2439      0.2619      0.1841       0.000       0.003       0.005                                                                          
         1.0        0.21      0.2875      0.2566      0.1836       0.000       0.003       0.005                                                                          
         1.1        0.24      0.3294      0.2502      0.1824       0.000       0.003       0.005                                                                          
         1.3        0.27      0.3693      0.2428      0.1804       0.000       0.003       0.005                                                                          
         1.5        0.31      0.4070      0.2341      0.1776       0.000       0.003       0.005                                                                          
         1.6        0.34      0.4423      0.2250      0.1745       0.000       0.003       0.004                                                                          
         1.8        0.38      0.4754      0.2156      0.1711       0.000       0.003       0.004                                                                          
         1.9        0.41      0.5062      0.2060      0.1675       0.000       0.003       0.004                                                                          
         2.1        0.45      0.5344      0.1960      0.1635       0.000       0.003       0.004                                                                          
         2.3        0.48      0.5601      0.1857      0.1592       0.000       0.003       0.004                                                                          
         2.4        0.51      0.5834      0.1752      0.1545       0.000       0.002       0.003                                                                          
         2.6        0.55      0.6043      0.1644      0.1493       0.000       0.002       0.003                                                                          
         2.8        0.58      0.6225      0.1533      0.1436       0.000       0.002       0.003                                                                          
         2.9        0.62      0.6375      0.1419      0.1374       0.000       0.002       0.003                                                                          
         3.1        0.65      0.6492      0.1303      0.1307       0.000       0.002       0.003                                                                          
         3.2        0.69      0.6588      0.1184      0.1233       0.000       0.002       0.002                                                                          
         3.4        0.72      0.6656      0.1063      0.1150       0.000       0.002       0.002                                                                          
         3.6        0.75      0.6685      0.0939      0.1060       0.000       0.002       0.002                                                                          
         3.7        0.79      0.6658      0.0813      0.0963       0.000       0.002       0.002                                                                          
         3.9        0.82      0.6555      0.0685      0.0860       0.000       0.001       0.001                                                                          
         4.1        0.86      0.6310      0.0553      0.0752       0.000       0.001       0.001                                                                          
         4.2        0.89      0.5828      0.0420      0.0642       0.000       0.001       0.001                                                                          
         4.4        0.93      0.4936      0.0283      0.0530       0.000       0.001       0.001                                                                          
         4.5        0.96      0.3270      0.0142      0.0418       0.000       0.001       0.000                                                                          
         4.7        0.99     -0.0034     -0.0001      0.0310       0.000       0.000       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2772      0.1791       0.000       0.011       0.022                                                                          
         0.3        0.03      0.0521      0.2753      0.1809       0.000       0.011       0.022                                                                          
         0.6        0.07      0.1026      0.2729      0.1823       0.000       0.012       0.022                                                                          
         1.0        0.10      0.1513      0.2700      0.1834       0.000       0.012       0.022                                                                          
         1.3        0.14      0.1983      0.2664      0.1841       0.000       0.012       0.021                                                                          
         1.6        0.17      0.2436      0.2620      0.1842       0.000       0.012       0.021                                                                          
         1.9        0.21      0.2871      0.2567      0.1837       0.000       0.012       0.020                                                                          
         2.3        0.24      0.3289      0.2504      0.1826       0.000       0.012       0.020                                                                          
         2.6        0.27      0.3688      0.2430      0.1806       0.000       0.011       0.019                                                                          
         2.9        0.31      0.4065      0.2344      0.1777       0.000       0.011       0.019                                                                          
         3.2        0.34      0.4418      0.2253      0.1746       0.000       0.011       0.018                                                                          
         3.6        0.38      0.4750      0.2159      0.1713       0.000       0.011       0.017                                                                          
         3.9        0.41      0.5057      0.2062      0.1676       0.000       0.011       0.016                                                                          
         4.2        0.45      0.5339      0.1962      0.1637       0.000       0.010       0.016                                                                          
         4.5        0.48      0.5597      0.1860      0.1594       0.000       0.010       0.015                                                                          
         4.9        0.51      0.5830      0.1755      0.1546       0.000       0.010       0.014                                                                          
         5.2        0.55      0.6039      0.1646      0.1494       0.000       0.009       0.013                                                                          
         5.5        0.58      0.6221      0.1536      0.1437       0.000       0.009       0.012                                                                          
         5.8        0.62      0.6372      0.1422      0.1376       0.000       0.009       0.011                                                                          
         6.2        0.65      0.6490      0.1306      0.1309       0.000       0.008       0.010                                                                          
         6.5        0.69      0.6586      0.1187      0.1235       0.000       0.008       0.009                                                                          
         6.8        0.72      0.6655      0.1067      0.1153       0.000       0.007       0.008                                                                          
         7.1        0.75      0.6685      0.0943      0.1063       0.000       0.007       0.008                                                                          
         7.5        0.79      0.6661      0.0817      0.0966       0.000       0.006       0.007                                                                          
         7.8        0.82      0.6559      0.0688      0.0862       0.000       0.005       0.005                                                                          
         8.1        0.86      0.6318      0.0556      0.0754       0.000       0.005       0.004                                                                          
         8.4        0.89      0.5840      0.0422      0.0643       0.000       0.004       0.003                                                                          
         8.8        0.92      0.4952      0.0284      0.0531       0.000       0.003       0.002                                                                          
         9.1        0.96      0.3284      0.0143      0.0418       0.000       0.003       0.001                                                                          
         9.4        0.99     -0.0028     -0.0001      0.0308       0.000       0.002       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2767      0.1774       0.001       0.025       0.050                                                                          
         0.5        0.03      0.0526      0.2748      0.1790       0.001       0.026       0.049                                                                          
         1.0        0.07      0.1034      0.2724      0.1804       0.001       0.026       0.049                                                                          
         1.5        0.10      0.1527      0.2694      0.1813       0.001       0.026       0.048                                                                          
         1.9        0.14      0.2004      0.2658      0.1817       0.001       0.026       0.048                                                                          
         2.4        0.17      0.2465      0.2614      0.1816       0.001       0.026       0.047                                                                          
         2.9        0.21      0.2908      0.2561      0.1810       0.001       0.026       0.046                                                                          
         3.4        0.24      0.3328      0.2498      0.1800       0.001       0.026       0.045                                                                          
         3.9        0.27      0.3722      0.2424      0.1785       0.001       0.025       0.043                                                                          
         4.4        0.31      0.4097      0.2338      0.1759       0.001       0.025       0.042                                                                          
         4.9        0.34      0.4453      0.2248      0.1729       0.001       0.025       0.040                                                                          
         5.4        0.38      0.4789      0.2156      0.1696       0.001       0.024       0.039                                                                          
         5.8        0.41      0.5100      0.2060      0.1660       0.001       0.024       0.037                                                                          
         6.3        0.45      0.5385      0.1962      0.1622       0.001       0.023       0.035                                                                          
         6.8        0.48      0.5642      0.1860      0.1581       0.001       0.023       0.033                                                                          
         7.3        0.51      0.5865      0.1755      0.1537       0.001       0.022       0.031                                                                          
         7.8        0.55      0.6062      0.1647      0.1489       0.001       0.021       0.030                                                                          
         8.3        0.58      0.6231      0.1536      0.1435       0.001       0.020       0.028                                                                          
