         6x4.2E-3                 (6x42E-3.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1951      0.1017       0.000       0.004       0.008       0.047       0.000       0.036      77.037        0.02       4656.  
         0.2        0.03      0.0585      0.1923      0.1029       0.000       0.004       0.008       0.048       0.000       0.035      74.994        0.02       4656.  
         0.4        0.06      0.1138      0.1892      0.1041       0.000       0.004       0.008       0.049       0.000       0.035      72.981        0.02       4657.  
         0.5        0.09      0.1661      0.1858      0.1050       0.000       0.004       0.008       0.049       0.000       0.034      71.003        0.02       4659.  
         0.7        0.13      0.2154      0.1821      0.1058       0.000       0.004       0.008       0.049       0.000       0.033      69.056        0.02       4662.  
         0.9        0.16      0.2618      0.1780      0.1064       0.000       0.004       0.007       0.050       0.000       0.033      67.131        0.02       4666.  
         1.1        0.19      0.3052      0.1736      0.1069       0.000       0.004       0.007       0.050       0.000       0.032      65.216        0.02       4670.  
         1.2        0.22      0.3456      0.1689      0.1071       0.000       0.004       0.007       0.050       0.000       0.031      63.307        0.02       4676.  
         1.4        0.25      0.3832      0.1638      0.1070       0.000       0.004       0.007       0.050       0.000       0.030      61.418        0.02       4682.  
         1.6        0.28      0.4181      0.1582      0.1066       0.000       0.004       0.007       0.050       0.000       0.029      59.564        0.02       4689.  
         1.8        0.31      0.4503      0.1519      0.1056       0.000       0.004       0.006       0.049       0.000       0.028      57.737        0.02       4697.  
         2.0        0.34      0.4798      0.1453      0.1043       0.000       0.004       0.006       0.049       0.000       0.027      55.926        0.02       4705.  
         2.1        0.38      0.5066      0.1386      0.1028       0.000       0.004       0.006       0.048       0.000       0.025      54.123        0.02       4714.  
         2.3        0.41      0.5306      0.1317      0.1010       0.000       0.004       0.005       0.047       0.000       0.024      52.325        0.02       4725.  
         2.5        0.44      0.5520      0.1245      0.0989       0.000       0.004       0.005       0.046       0.000       0.023      50.548        0.02       4736.  
         2.7        0.47      0.5723      0.1172      0.0962       0.000       0.004       0.005       0.045       0.000       0.022      48.915        0.02       4747.  
         2.8        0.50      0.5913      0.1096      0.0929       0.000       0.004       0.005       0.043       0.000       0.020      47.383        0.02       4760.  
         3.0        0.53      0.6077      0.1019      0.0893       0.000       0.004       0.004       0.042       0.000       0.019      45.832        0.02       4773.  
         3.2        0.56      0.6212      0.0940      0.0853       0.000       0.003       0.004       0.040       0.000       0.017      44.248        0.02       4787.  
         3.4        0.59      0.6316      0.0859      0.0809       0.000       0.003       0.004       0.038       0.000       0.016      42.616        0.02       4802.  
         3.6        0.63      0.6383      0.0776      0.0762       0.000       0.003       0.003       0.036       0.000       0.014      40.915        0.02       4817.  
         3.7        0.66      0.6410      0.0695      0.0713       0.000       0.003       0.003       0.033       0.000       0.013      39.133        0.02       4834.  
         3.9        0.69      0.6392      0.0614      0.0662       0.000       0.003       0.003       0.031       0.000       0.011      37.250        0.02       4851.  
         4.1        0.72      0.6312      0.0532      0.0607       0.000       0.002       0.002       0.028       0.000       0.010      35.187        0.02       4868.  
         4.3        0.75      0.6143      0.0448      0.0548       0.000       0.002       0.002       0.026       0.000       0.008      32.818        0.02       4887.  
         4.4        0.78      0.5834      0.0362      0.0485       0.000       0.002       0.001       0.023       0.000       0.007      29.917        0.02       4906.  
         4.6        0.81      0.5313      0.0274      0.0419       0.000       0.002       0.001       0.020       0.000       0.005      26.197        0.02       4926.  
         4.8        0.85      0.4445      0.0184      0.0350       0.000       0.001       0.001       0.016       0.000       0.003      21.106        0.02       4946.  
